,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,24917,11550,7922,16995
1,1,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,27318,13962,2527,24791
2,2,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,31086,17904,2414,28672
3,3,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,32816,19639,2334,30482
4,4,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,22331,9134,2583,19748
5,5,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,19201,6198,2426,16775
6,6,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,26466,13278,2136,24330
7,7,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,32477,19287,2427,30050
8,8,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,33015,19815,2352,30663
9,9,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,23028,9657,2527,20501
10,10,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,31949,18589,2603,29346
11,11,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,22306,9122,2342,19964
12,12,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,27282,13925,2134,25148
13,13,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,25422,12054,2579,22843
14,14,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,32831,19466,2531,30300
15,15,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,30087,16892,2116,27971
16,16,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,31773,18592,2409,29364
17,17,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,33534,20338,2649,30885
18,18,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,23519,10169,2417,21102
19,19,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,29544,16188,2652,26892
20,20,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,28340,14982,2638,25702
21,21,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,21291,7917,2482,18809
22,22,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,18181,21528,18290,-109
23,23,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,26103,12916,2716,23387
24,24,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,32132,18941,2403,29729
25,25,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,21468,8100,2632,18836
26,26,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,28182,14829,2431,25751
27,27,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,28845,15668,2542,26303
28,28,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,31612,18428,2214,29398
29,29,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,27154,13779,2802,24352
30,30,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,26787,13604,2776,24011
31,31,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,32114,18761,2445,29669
32,32,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,24724,11367,2442,22282
33,33,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,24030,10683,2732,21298
34,34,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,24904,11713,2615,22289
35,35,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,31952,18779,2562,29390
36,36,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,22994,9644,2182,20812
37,37,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,26622,13254,2182,24440
38,38,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,26622,13429,2343,24279
39,39,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,22842,9474,2459,20383
40,40,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,22162,8785,2426,19736
41,41,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,29714,16187,2095,27619
42,42,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,34563,21209,2697,31866
43,43,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,32308,18954,2003,30305
44,44,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,19046,5853,2236,16810
45,45,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,31288,18088,2450,28838
46,46,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,33870,20685,2545,31325
47,47,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,29192,15837,2515,26677
48,48,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,20243,7059,2316,17927
49,49,2034,Direct3D,default,Direct3D_default,fullscreen,3,windup_fullscreen,23504,10320,2581,20923
