,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,39720,26530,14200,25520
1,1,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,44013,30658,14905,29108
2,2,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,39004,25826,13378,25626
3,3,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,46269,33086,13792,32477
4,4,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,47115,33915,14313,32802
5,5,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,49368,36004,13207,36161
6,6,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,38682,25487,13445,25237
7,7,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,32669,19464,14086,18583
8,8,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,35415,22207,13921,21494
9,9,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,46928,33752,13733,33195
10,10,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,39888,26714,13693,26195
11,11,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,41782,28947,13415,28367
12,12,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,34731,21529,13360,21371
13,13,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,42810,29457,14037,28773
14,14,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,48135,34954,13691,34444
15,15,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,50031,36675,13440,36591
16,16,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,42097,28749,13581,28516
17,17,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,43499,30147,13734,29765
18,18,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,38189,24828,13193,24996
19,19,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,35899,22564,14800,21099
20,20,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,43848,30507,13756,30092
21,21,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,48471,35116,13050,35421
22,22,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,47641,34280,13173,34468
23,23,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,40562,27386,14297,26265
24,24,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,43853,30678,13489,30364
25,25,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,42993,29621,14510,28483
26,26,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,46425,33074,13980,32445
27,27,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,43700,30506,13740,29960
28,28,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,44375,31190,15346,29029
29,29,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,41953,28594,14977,26976
30,30,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,37666,24299,14260,23406
31,31,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,47823,34636,13382,34441
32,32,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,46264,32908,13382,32882
33,33,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,39549,26359,14209,25340
34,34,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,39376,26193,13057,26319
35,35,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,37642,24464,14050,23592
36,36,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,36096,22744,13382,22714
37,37,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,44566,31197,14226,30340
38,38,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,37479,24451,14441,23038
39,39,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,50227,37037,13338,36889
40,40,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,45224,31866,13528,31696
41,41,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,38840,25488,13423,25417
42,42,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,32126,35484,14771,17355
43,43,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,44694,31504,13846,30848
44,44,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,36258,22893,14413,21845
45,45,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,36940,23760,13944,22996
46,46,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,47657,34462,13643,34014
47,47,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,41461,28271,14502,26959
48,48,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,44888,31697,13704,31184
49,49,2033,GTK,default,GTK_default,fullscreen,3,windup_fullscreen,36982,23792,13081,23901
