,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,39546,43071,8385,31161
1,1,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,37982,41508,6627,31355
2,2,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,50219,53404,17379,32840
3,3,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,37978,41329,5871,32107
4,4,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,40903,44257,9988,30915
5,5,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,41264,44609,10786,30478
6,6,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,39567,43094,8662,30905
7,7,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,48667,52012,18452,30215
8,8,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,37640,41167,7305,30335
9,9,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,43144,46500,12373,30771
10,10,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,40219,43921,9029,31190
11,11,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,36441,39785,4422,32019
12,12,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,46275,49626,14187,32088
13,13,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,48474,51821,17404,31070
14,14,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,40896,44243,9772,31124
15,15,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,44350,47694,13328,31022
16,16,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,44213,47737,12635,31578
17,17,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,42313,45837,12175,30138
18,18,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,44519,48039,13930,30589
19,19,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,43662,47184,13758,29904
20,20,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,40040,43390,9054,30986
21,21,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,39705,43053,8124,31581
22,22,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,39009,42532,7784,31225
23,23,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,44513,47862,13812,30701
24,24,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,51771,55119,21314,30457
25,25,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,37279,40804,4850,32429
26,26,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,47997,51525,16892,31105
27,27,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,45061,48593,13294,31767
28,28,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,39873,43389,9266,30607
29,29,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,43008,46537,12174,30834
30,30,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,41577,44933,11113,30464
31,31,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,40396,43929,9749,30647
32,32,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,50566,54256,20145,30421
33,33,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,41264,44620,9951,31313
34,34,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,44032,47549,11989,32043
35,35,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,45752,49276,13487,32265
36,36,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,39360,42724,8707,30653
37,37,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,45059,48410,14436,30623
38,38,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,37111,40457,6736,30375
39,39,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,38672,42193,7936,30736
40,40,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,48350,51713,18455,29895
41,41,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,42262,45607,11071,31191
42,42,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,49167,52687,18199,30968
43,43,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,51269,54788,21108,30161
44,44,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,45214,48730,14273,30941
45,45,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,49176,52700,18271,30905
46,46,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,40551,43897,8764,31787
47,47,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,46749,50264,16314,30435
48,48,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,48504,51866,18504,30000
49,49,2035,pygame,default,pygame_default,fullscreen,2,windup_fullscreen,52126,55651,21145,30981
