,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,107273,110633,83825,23448
1,1,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,105167,108684,100308,4859
2,2,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,110672,114198,100414,10258
3,3,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,116331,119857,99662,16669
4,4,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,106334,109679,100476,5858
5,5,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,114113,117634,100339,13774
6,6,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,106370,109900,100447,5923
7,7,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,103608,107127,100392,3216
8,8,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,113269,116802,96750,16519
9,9,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,123893,127075,100391,23502
10,10,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,107071,110593,100318,6753
11,11,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,106763,110117,90168,16595
12,12,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,107071,110432,100252,6819
13,13,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,104640,107986,100338,4302
14,14,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,107094,110617,100648,6446
15,15,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,129154,132515,100389,28765
16,16,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,112399,115748,95775,16624
17,17,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,129297,132643,100349,28948
18,18,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,102272,105799,85847,16425
19,19,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,104985,108511,88465,16520
20,20,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,101527,104874,84973,16554
21,21,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,101199,104560,100302,897
22,22,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,107531,110881,100431,7100
23,23,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,114161,117683,100441,13720
24,24,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,115373,118729,98774,16599
25,25,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,116895,120087,100239,16656
26,26,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,104997,108341,100420,4577
27,27,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,114295,117820,100416,13879
28,28,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,114484,117833,97812,16672
29,29,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,112952,116479,96397,16555
30,30,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,109659,113176,100448,9211
31,31,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,111734,115083,100316,11418
32,32,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,109460,112806,92900,16560
33,33,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,116370,119902,99886,16484
34,34,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,115348,118693,100462,14886
35,35,2040,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,102095,105446,100540,1555
