,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,45378,48726,3380,41998
1,1,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,52805,56151,2217,50588
2,2,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,25065,28418,2664,22401
3,3,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,35406,38757,1471,33935
4,4,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,40066,43421,1418,38648
5,5,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,23689,27219,2184,21505
6,6,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,39532,42707,1397,38135
7,7,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,25595,28947,1534,24061
8,8,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,40566,43919,1478,39088
9,9,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,39861,43212,1430,38431
10,10,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,21640,24816,2054,19586
11,11,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,46447,49627,1435,45012
12,12,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,49000,52353,1383,47617
13,13,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,39193,42722,1438,37755
14,14,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,24030,27383,2495,21535
15,15,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,50213,53738,1459,48754
16,16,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,35059,38405,1473,33586
17,17,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,48832,52187,1414,47418
18,18,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,20240,23598,1753,18487
19,19,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,34214,37570,1490,32724
20,20,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,38870,42219,1470,37400
21,21,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,20606,23782,1619,18987
22,22,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,45035,48393,1393,43642
23,23,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,50746,54103,1396,49350
24,24,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,40067,43413,1479,38588
25,25,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,34555,37909,1963,32592
26,26,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,22333,25681,1848,20485
27,27,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,46594,49942,1395,45199
28,28,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,23673,27027,1722,21951
29,29,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,45551,48902,1470,44081
30,30,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,49337,52693,1472,47865
31,31,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,41443,44800,1323,40120
32,32,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,29202,32566,2255,26947
33,33,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,48169,51519,1446,46723
34,34,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,35926,39274,1478,34448
35,35,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,40750,43926,1477,39273
36,36,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,20059,23409,1690,18369
37,37,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,39018,42373,1468,37550
38,38,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,36788,40143,1461,35327
39,39,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,42493,46029,1451,41042
40,40,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,26623,29977,1676,24947
41,41,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,38167,41349,1344,36823
42,42,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,48487,51836,1349,47138
43,43,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,29211,32563,2096,27115
44,44,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,44887,48410,1393,43494
45,45,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,34708,38071,1734,32974
46,46,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,42814,45990,1494,41320
47,47,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,26285,29639,1824,24461
48,48,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,26438,29798,1633,24805
49,49,2044,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,windup_fullscreen,42801,46155,1439,41362
