,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,DirectX11,default,DirectX11_default,windup,False,windup_False,10752,-1,10753
1,1,DirectX11,default,DirectX11_default,windup,False,windup_False,10196,-1,10197
2,2,DirectX11,default,DirectX11_default,windup,False,windup_False,10080,-1,10081
3,3,DirectX11,default,DirectX11_default,windup,False,windup_False,10428,-1,10429
4,4,DirectX11,default,DirectX11_default,windup,False,windup_False,9968,-1,9969
5,5,DirectX11,default,DirectX11_default,windup,False,windup_False,9292,-1,9293
6,6,DirectX11,default,DirectX11_default,windup,False,windup_False,10420,-1,10421
7,7,DirectX11,default,DirectX11_default,windup,False,windup_False,10636,-1,10637
8,8,DirectX11,default,DirectX11_default,windup,False,windup_False,10752,-1,10753
9,9,DirectX11,default,DirectX11_default,windup,False,windup_False,9524,-1,9525
10,10,DirectX11,default,DirectX11_default,windup,False,windup_False,10980,-1,10981
11,11,DirectX11,default,DirectX11_default,windup,False,windup_False,9084,-1,9085
12,12,DirectX11,default,DirectX11_default,windup,False,windup_False,9632,-1,9633
13,13,DirectX11,default,DirectX11_default,windup,False,windup_False,9856,-1,9857
14,14,DirectX11,default,DirectX11_default,windup,False,windup_False,10092,-1,10093
15,15,DirectX11,default,DirectX11_default,windup,False,windup_False,11100,-1,11101
16,16,DirectX11,default,DirectX11_default,windup,False,windup_False,9872,-1,9873
17,17,DirectX11,default,DirectX11_default,windup,False,windup_False,10424,-1,10425
18,18,DirectX11,default,DirectX11_default,windup,False,windup_False,10092,-1,10093
19,19,DirectX11,default,DirectX11_default,windup,False,windup_False,11312,-1,11313
20,20,DirectX11,default,DirectX11_default,windup,False,windup_False,10640,-1,10641
21,21,DirectX11,default,DirectX11_default,windup,False,windup_False,10196,-1,10197
22,22,DirectX11,default,DirectX11_default,windup,False,windup_False,10536,-1,10537
23,23,DirectX11,default,DirectX11_default,windup,False,windup_False,9532,-1,9533
24,24,DirectX11,default,DirectX11_default,windup,False,windup_False,9304,-1,9305
25,25,DirectX11,default,DirectX11_default,windup,False,windup_False,9632,-1,9633
26,26,DirectX11,default,DirectX11_default,windup,False,windup_False,9080,-1,9081
27,27,DirectX11,default,DirectX11_default,windup,False,windup_False,10984,-1,10985
28,28,DirectX11,default,DirectX11_default,windup,False,windup_False,10864,-1,10865
29,29,DirectX11,default,DirectX11_default,windup,False,windup_False,11096,-1,11097
30,30,DirectX11,default,DirectX11_default,windup,False,windup_False,9516,-1,9517
31,31,DirectX11,default,DirectX11_default,windup,False,windup_False,10868,-1,10869
32,32,DirectX11,default,DirectX11_default,windup,False,windup_False,9984,-1,9985
33,33,DirectX11,default,DirectX11_default,windup,False,windup_False,9860,-1,9861
34,34,DirectX11,default,DirectX11_default,windup,False,windup_False,8856,-1,8857
35,35,DirectX11,default,DirectX11_default,windup,False,windup_False,11200,-1,11201
36,36,DirectX11,default,DirectX11_default,windup,False,windup_False,9864,-1,9865
37,37,DirectX11,default,DirectX11_default,windup,False,windup_False,10980,-1,10981
38,38,DirectX11,default,DirectX11_default,windup,False,windup_False,10868,-1,10869
39,39,DirectX11,default,DirectX11_default,windup,False,windup_False,11984,-1,11985
40,40,DirectX11,default,DirectX11_default,windup,False,windup_False,10424,-1,10425
41,41,DirectX11,default,DirectX11_default,windup,False,windup_False,10304,-1,10305
42,42,DirectX11,default,DirectX11_default,windup,False,windup_False,9752,-1,9753
43,43,DirectX11,default,DirectX11_default,windup,False,windup_False,9076,-1,9077
44,44,DirectX11,default,DirectX11_default,windup,False,windup_False,9748,-1,9749
45,45,DirectX11,default,DirectX11_default,windup,False,windup_False,10532,-1,10533
46,46,DirectX11,default,DirectX11_default,windup,False,windup_False,8740,-1,8741
47,47,DirectX11,default,DirectX11_default,windup,False,windup_False,9640,-1,9641
48,48,DirectX11,default,DirectX11_default,windup,False,windup_False,9408,-1,9409
49,49,DirectX11,default,DirectX11_default,windup,False,windup_False,9300,-1,9301
