,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,default,Java2D_default,windup,False,windup_False,17920,-1,17921
1,1,Java2D,default,Java2D_default,windup,False,windup_False,16700,-1,16701
2,2,Java2D,default,Java2D_default,windup,False,windup_False,16356,-1,16357
3,3,Java2D,default,Java2D_default,windup,False,windup_False,16804,-1,16805
4,4,Java2D,default,Java2D_default,windup,False,windup_False,15344,-1,15345
5,5,Java2D,default,Java2D_default,windup,False,windup_False,16252,-1,16253
6,6,Java2D,default,Java2D_default,windup,False,windup_False,15468,-1,15469
7,7,Java2D,default,Java2D_default,windup,False,windup_False,15236,-1,15237
8,8,Java2D,default,Java2D_default,windup,False,windup_False,15352,-1,15353
9,9,Java2D,default,Java2D_default,windup,False,windup_False,16248,-1,16249
10,10,Java2D,default,Java2D_default,windup,False,windup_False,13228,-1,13229
11,11,Java2D,default,Java2D_default,windup,False,windup_False,18156,-1,18157
12,12,Java2D,default,Java2D_default,windup,False,windup_False,17028,-1,17029
13,13,Java2D,default,Java2D_default,windup,False,windup_False,16924,-1,16925
14,14,Java2D,default,Java2D_default,windup,False,windup_False,16696,-1,16697
15,15,Java2D,default,Java2D_default,windup,False,windup_False,16012,-1,16013
16,16,Java2D,default,Java2D_default,windup,False,windup_False,11540,-1,11541
17,17,Java2D,default,Java2D_default,windup,False,windup_False,11992,-1,11993
18,18,Java2D,default,Java2D_default,windup,False,windup_False,15012,-1,15013
19,19,Java2D,default,Java2D_default,windup,False,windup_False,17140,-1,17141
20,20,Java2D,default,Java2D_default,windup,False,windup_False,16468,-1,16469
21,21,Java2D,default,Java2D_default,windup,False,windup_False,11876,-1,11877
22,22,Java2D,default,Java2D_default,windup,False,windup_False,18928,-1,18929
23,23,Java2D,default,Java2D_default,windup,False,windup_False,16580,-1,16581
24,24,Java2D,default,Java2D_default,windup,False,windup_False,15564,-1,15565
25,25,Java2D,default,Java2D_default,windup,False,windup_False,14676,-1,14677
26,26,Java2D,default,Java2D_default,windup,False,windup_False,16252,-1,16253
27,27,Java2D,default,Java2D_default,windup,False,windup_False,16476,-1,16477
28,28,Java2D,default,Java2D_default,windup,False,windup_False,16016,-1,16017
29,29,Java2D,default,Java2D_default,windup,False,windup_False,17144,-1,17145
30,30,Java2D,default,Java2D_default,windup,False,windup_False,12320,-1,12321
31,31,Java2D,default,Java2D_default,windup,False,windup_False,16016,-1,16017
32,32,Java2D,default,Java2D_default,windup,False,windup_False,16016,-1,16017
33,33,Java2D,default,Java2D_default,windup,False,windup_False,18144,-1,18145
34,34,Java2D,default,Java2D_default,windup,False,windup_False,17592,-1,17593
35,35,Java2D,default,Java2D_default,windup,False,windup_False,13112,-1,13113
36,36,Java2D,default,Java2D_default,windup,False,windup_False,16812,-1,16813
37,37,Java2D,default,Java2D_default,windup,False,windup_False,17252,-1,17253
38,38,Java2D,default,Java2D_default,windup,False,windup_False,15120,-1,15121
39,39,Java2D,default,Java2D_default,windup,False,windup_False,17700,-1,17701
40,40,Java2D,default,Java2D_default,windup,False,windup_False,14784,-1,14785
41,41,Java2D,default,Java2D_default,windup,False,windup_False,17808,-1,17809
42,42,Java2D,default,Java2D_default,windup,False,windup_False,17712,-1,17713
43,43,Java2D,default,Java2D_default,windup,False,windup_False,14568,-1,14569
44,44,Java2D,default,Java2D_default,windup,False,windup_False,16028,-1,16029
45,45,Java2D,default,Java2D_default,windup,False,windup_False,11212,-1,11213
46,46,Java2D,default,Java2D_default,windup,False,windup_False,18820,-1,18821
47,47,Java2D,default,Java2D_default,windup,False,windup_False,19936,-1,19937
48,48,Java2D,default,Java2D_default,windup,False,windup_False,16584,-1,16585
49,49,Java2D,default,Java2D_default,windup,False,windup_False,10748,-1,10749
