,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16356,-1,16357
1,1,JavaSwing,default,JavaSwing_default,windup,False,windup_False,17360,-1,17361
2,2,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16348,-1,16349
3,3,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16132,-1,16133
4,4,JavaSwing,default,JavaSwing_default,windup,False,windup_False,17372,-1,17373
5,5,JavaSwing,default,JavaSwing_default,windup,False,windup_False,17136,-1,17137
6,6,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16576,-1,16577
7,7,JavaSwing,default,JavaSwing_default,windup,False,windup_False,14460,-1,14461
8,8,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15352,-1,15353
9,9,JavaSwing,default,JavaSwing_default,windup,False,windup_False,14332,-1,14333
10,10,JavaSwing,default,JavaSwing_default,windup,False,windup_False,14792,-1,14793
11,11,JavaSwing,default,JavaSwing_default,windup,False,windup_False,17924,-1,17925
12,12,JavaSwing,default,JavaSwing_default,windup,False,windup_False,14904,-1,14905
13,13,JavaSwing,default,JavaSwing_default,windup,False,windup_False,14784,-1,14785
14,14,JavaSwing,default,JavaSwing_default,windup,False,windup_False,11208,-1,11209
15,15,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15576,-1,15577
16,16,JavaSwing,default,JavaSwing_default,windup,False,windup_False,12440,-1,12441
17,17,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16692,-1,16693
18,18,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15796,-1,15797
19,19,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16356,-1,16357
20,20,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15908,-1,15909
21,21,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16824,-1,16825
22,22,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16472,-1,16473
23,23,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15688,-1,15689
24,24,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16696,-1,16697
25,25,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16696,-1,16697
26,26,JavaSwing,default,JavaSwing_default,windup,False,windup_False,18600,-1,18601
27,27,JavaSwing,default,JavaSwing_default,windup,False,windup_False,17700,-1,17701
28,28,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15580,-1,15581
29,29,JavaSwing,default,JavaSwing_default,windup,False,windup_False,18836,-1,18837
30,30,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16816,-1,16817
31,31,JavaSwing,default,JavaSwing_default,windup,False,windup_False,12768,-1,12769
32,32,JavaSwing,default,JavaSwing_default,windup,False,windup_False,18592,-1,18593
33,33,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16920,-1,16921
34,34,JavaSwing,default,JavaSwing_default,windup,False,windup_False,12220,-1,12221
35,35,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15352,-1,15353
36,36,JavaSwing,default,JavaSwing_default,windup,False,windup_False,14668,-1,14669
37,37,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16592,-1,16593
38,38,JavaSwing,default,JavaSwing_default,windup,False,windup_False,17696,-1,17697
39,39,JavaSwing,default,JavaSwing_default,windup,False,windup_False,17036,-1,17037
40,40,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16240,-1,16241
41,41,JavaSwing,default,JavaSwing_default,windup,False,windup_False,12100,-1,12101
42,42,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16588,-1,16589
43,43,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16136,-1,16137
44,44,JavaSwing,default,JavaSwing_default,windup,False,windup_False,11884,-1,11885
45,45,JavaSwing,default,JavaSwing_default,windup,False,windup_False,18268,-1,18269
46,46,JavaSwing,default,JavaSwing_default,windup,False,windup_False,16804,-1,16805
47,47,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15468,-1,15469
48,48,JavaSwing,default,JavaSwing_default,windup,False,windup_False,15452,-1,15453
49,49,JavaSwing,default,JavaSwing_default,windup,False,windup_False,12892,-1,12893
