,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt5,default,Qt5_default,windup,False,windup_False,21948,-1,21949
1,1,Qt5,default,Qt5_default,windup,False,windup_False,17360,-1,17361
2,2,Qt5,default,Qt5_default,windup,False,windup_False,21172,-1,21173
3,3,Qt5,default,Qt5_default,windup,False,windup_False,20400,-1,20401
4,4,Qt5,default,Qt5_default,windup,False,windup_False,22076,-1,22077
5,5,Qt5,default,Qt5_default,windup,False,windup_False,19824,-1,19825
6,6,Qt5,default,Qt5_default,windup,False,windup_False,17704,-1,17705
7,7,Qt5,default,Qt5_default,windup,False,windup_False,22412,-1,22413
8,8,Qt5,default,Qt5_default,windup,False,windup_False,20492,-1,20493
9,9,Qt5,default,Qt5_default,windup,False,windup_False,19492,-1,19493
10,10,Qt5,default,Qt5_default,windup,False,windup_False,17360,-1,17361
11,11,Qt5,default,Qt5_default,windup,False,windup_False,16584,-1,16585
12,12,Qt5,default,Qt5_default,windup,False,windup_False,20272,-1,20273
13,13,Qt5,default,Qt5_default,windup,False,windup_False,17248,-1,17249
14,14,Qt5,default,Qt5_default,windup,False,windup_False,16472,-1,16473
15,15,Qt5,default,Qt5_default,windup,False,windup_False,16016,-1,16017
16,16,Qt5,default,Qt5_default,windup,False,windup_False,20056,-1,20057
17,17,Qt5,default,Qt5_default,windup,False,windup_False,20836,-1,20837
18,18,Qt5,default,Qt5_default,windup,False,windup_False,20176,-1,20177
19,19,Qt5,default,Qt5_default,windup,False,windup_False,19836,-1,19837
20,20,Qt5,default,Qt5_default,windup,False,windup_False,18716,-1,18717
21,21,Qt5,default,Qt5_default,windup,False,windup_False,19952,-1,19953
22,22,Qt5,default,Qt5_default,windup,False,windup_False,17484,-1,17485
23,23,Qt5,default,Qt5_default,windup,False,windup_False,21056,-1,21057
24,24,Qt5,default,Qt5_default,windup,False,windup_False,20160,-1,20161
25,25,Qt5,default,Qt5_default,windup,False,windup_False,18040,-1,18041
26,26,Qt5,default,Qt5_default,windup,False,windup_False,20292,-1,20293
27,27,Qt5,default,Qt5_default,windup,False,windup_False,17920,-1,17921
28,28,Qt5,default,Qt5_default,windup,False,windup_False,21508,-1,21509
29,29,Qt5,default,Qt5_default,windup,False,windup_False,20272,-1,20273
30,30,Qt5,default,Qt5_default,windup,False,windup_False,15908,-1,15909
31,31,Qt5,default,Qt5_default,windup,False,windup_False,19952,-1,19953
32,32,Qt5,default,Qt5_default,windup,False,windup_False,21956,-1,21957
33,33,Qt5,default,Qt5_default,windup,False,windup_False,20624,-1,20625
34,34,Qt5,default,Qt5_default,windup,False,windup_False,18600,-1,18601
35,35,Qt5,default,Qt5_default,windup,False,windup_False,17824,-1,17825
36,36,Qt5,default,Qt5_default,windup,False,windup_False,17924,-1,17925
37,37,Qt5,default,Qt5_default,windup,False,windup_False,18492,-1,18493
38,38,Qt5,default,Qt5_default,windup,False,windup_False,18032,-1,18033
39,39,Qt5,default,Qt5_default,windup,False,windup_False,21284,-1,21285
40,40,Qt5,default,Qt5_default,windup,False,windup_False,17588,-1,17589
41,41,Qt5,default,Qt5_default,windup,False,windup_False,22292,-1,22293
42,42,Qt5,default,Qt5_default,windup,False,windup_False,17468,-1,17469
43,43,Qt5,default,Qt5_default,windup,False,windup_False,19264,-1,19265
44,44,Qt5,default,Qt5_default,windup,False,windup_False,20392,-1,20393
45,45,Qt5,default,Qt5_default,windup,False,windup_False,20844,-1,20845
46,46,Qt5,default,Qt5_default,windup,False,windup_False,16928,-1,16929
47,47,Qt5,default,Qt5_default,windup,False,windup_False,21632,-1,21633
48,48,Qt5,default,Qt5_default,windup,False,windup_False,16248,-1,16249
49,49,Qt5,default,Qt5_default,windup,False,windup_False,22756,-1,22757
