,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt5,rects,Qt5_rects,windup,True,windup_True,28228,31568,-3340
1,1,Qt5,rects,Qt5_rects,windup,True,windup_True,26428,34634,-8206
2,2,Qt5,rects,Qt5_rects,windup,True,windup_True,27556,46273,-18717
3,3,Qt5,rects,Qt5_rects,windup,True,windup_True,27996,46164,-18168
4,4,Qt5,rects,Qt5_rects,windup,True,windup_True,30364,42822,-12458
5,5,Qt5,rects,Qt5_rects,windup,True,windup_True,26004,39044,-13040
6,6,Qt5,rects,Qt5_rects,windup,True,windup_True,27676,46477,-18801
7,7,Qt5,rects,Qt5_rects,windup,True,windup_True,29592,38919,-9327
8,8,Qt5,rects,Qt5_rects,windup,True,windup_True,27440,40207,-12767
9,9,Qt5,rects,Qt5_rects,windup,True,windup_True,25888,39321,-13433
10,10,Qt5,rects,Qt5_rects,windup,True,windup_True,27228,42791,-15563
11,11,Qt5,rects,Qt5_rects,windup,True,windup_True,28456,49890,-21434
12,12,Qt5,rects,Qt5_rects,windup,True,windup_True,26216,46536,-20320
13,13,Qt5,rects,Qt5_rects,windup,True,windup_True,28464,44043,-15579
14,14,Qt5,rects,Qt5_rects,windup,True,windup_True,29580,40852,-11272
15,15,Qt5,rects,Qt5_rects,windup,True,windup_True,27232,40650,-13418
16,16,Qt5,rects,Qt5_rects,windup,True,windup_True,28912,45282,-16370
17,17,Qt5,rects,Qt5_rects,windup,True,windup_True,26340,37913,-11573
18,18,Qt5,rects,Qt5_rects,windup,True,windup_True,27572,33133,-5561
19,19,Qt5,rects,Qt5_rects,windup,True,windup_True,27008,35380,-8372
20,20,Qt5,rects,Qt5_rects,windup,True,windup_True,27452,37468,-10016
21,21,Qt5,rects,Qt5_rects,windup,True,windup_True,30256,39341,-9085
22,22,Qt5,rects,Qt5_rects,windup,True,windup_True,28692,47388,-18696
23,23,Qt5,rects,Qt5_rects,windup,True,windup_True,28132,36891,-8759
24,24,Qt5,rects,Qt5_rects,windup,True,windup_True,27556,46250,-18694
25,25,Qt5,rects,Qt5_rects,windup,True,windup_True,31600,41860,-10260
26,26,Qt5,rects,Qt5_rects,windup,True,windup_True,27668,39561,-11893
27,27,Qt5,rects,Qt5_rects,windup,True,windup_True,26788,37994,-11206
28,28,Qt5,rects,Qt5_rects,windup,True,windup_True,30828,43576,-12748
29,29,Qt5,rects,Qt5_rects,windup,True,windup_True,27568,42481,-14913
30,30,Qt5,rects,Qt5_rects,windup,True,windup_True,29568,41278,-11710
31,31,Qt5,rects,Qt5_rects,windup,True,windup_True,31132,42799,-11667
32,32,Qt5,rects,Qt5_rects,windup,True,windup_True,30016,44735,-14719
33,33,Qt5,rects,Qt5_rects,windup,True,windup_True,30596,47758,-17162
34,34,Qt5,rects,Qt5_rects,windup,True,windup_True,27236,45788,-18552
35,35,Qt5,rects,Qt5_rects,windup,True,windup_True,27664,37512,-9848
36,36,Qt5,rects,Qt5_rects,windup,True,windup_True,26564,46966,-20402
37,37,Qt5,rects,Qt5_rects,windup,True,windup_True,28000,49307,-21307
38,38,Qt5,rects,Qt5_rects,windup,True,windup_True,29804,39692,-9888
39,39,Qt5,rects,Qt5_rects,windup,True,windup_True,28000,41543,-13543
40,40,Qt5,rects,Qt5_rects,windup,True,windup_True,29900,44961,-15061
41,41,Qt5,rects,Qt5_rects,windup,True,windup_True,27780,35818,-8038
42,42,Qt5,rects,Qt5_rects,windup,True,windup_True,30592,48428,-17836
43,43,Qt5,rects,Qt5_rects,windup,True,windup_True,31040,36351,-5311
44,44,Qt5,rects,Qt5_rects,windup,True,windup_True,30596,49282,-18686
45,45,Qt5,rects,Qt5_rects,windup,True,windup_True,26676,37087,-10411
46,46,Qt5,rects,Qt5_rects,windup,True,windup_True,28220,36348,-8128
47,47,Qt5,rects,Qt5_rects,windup,True,windup_True,27332,47015,-19683
48,48,Qt5,rects,Qt5_rects,windup,True,windup_True,27548,47162,-19614
49,49,Qt5,rects,Qt5_rects,windup,True,windup_True,29232,46453,-17221
