,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,DirectX11,default,DirectX11_default,windup,False,windup_False,9528,-1,9529
1,1,DirectX11,default,DirectX11_default,windup,False,windup_False,10640,-1,10641
2,2,DirectX11,default,DirectX11_default,windup,False,windup_False,9072,-1,9073
3,3,DirectX11,default,DirectX11_default,windup,False,windup_False,10876,-1,10877
4,4,DirectX11,default,DirectX11_default,windup,False,windup_False,9072,-1,9073
5,5,DirectX11,default,DirectX11_default,windup,False,windup_False,9068,-1,9069
6,6,DirectX11,default,DirectX11_default,windup,False,windup_False,10080,-1,10081
7,7,DirectX11,default,DirectX11_default,windup,False,windup_False,9084,-1,9085
8,8,DirectX11,default,DirectX11_default,windup,False,windup_False,10764,-1,10765
9,9,DirectX11,default,DirectX11_default,windup,False,windup_False,9852,-1,9853
10,10,DirectX11,default,DirectX11_default,windup,False,windup_False,9300,-1,9301
11,11,DirectX11,default,DirectX11_default,windup,False,windup_False,10980,-1,10981
12,12,DirectX11,default,DirectX11_default,windup,False,windup_False,10076,-1,10077
13,13,DirectX11,default,DirectX11_default,windup,False,windup_False,10652,-1,10653
14,14,DirectX11,default,DirectX11_default,windup,False,windup_False,10532,-1,10533
15,15,DirectX11,default,DirectX11_default,windup,False,windup_False,9408,-1,9409
16,16,DirectX11,default,DirectX11_default,windup,False,windup_False,11440,-1,11441
17,17,DirectX11,default,DirectX11_default,windup,False,windup_False,10868,-1,10869
18,18,DirectX11,default,DirectX11_default,windup,False,windup_False,9076,-1,9077
19,19,DirectX11,default,DirectX11_default,windup,False,windup_False,10088,-1,10089
20,20,DirectX11,default,DirectX11_default,windup,False,windup_False,11320,-1,11321
21,21,DirectX11,default,DirectX11_default,windup,False,windup_False,9976,-1,9977
22,22,DirectX11,default,DirectX11_default,windup,False,windup_False,10644,-1,10645
23,23,DirectX11,default,DirectX11_default,windup,False,windup_False,10204,-1,10205
24,24,DirectX11,default,DirectX11_default,windup,False,windup_False,10196,-1,10197
25,25,DirectX11,default,DirectX11_default,windup,False,windup_False,10880,-1,10881
26,26,DirectX11,default,DirectX11_default,windup,False,windup_False,9184,-1,9185
27,27,DirectX11,default,DirectX11_default,windup,False,windup_False,9536,-1,9537
28,28,DirectX11,default,DirectX11_default,windup,False,windup_False,8964,-1,8965
29,29,DirectX11,default,DirectX11_default,windup,False,windup_False,10308,-1,10309
30,30,DirectX11,default,DirectX11_default,windup,False,windup_False,9076,-1,9077
31,31,DirectX11,default,DirectX11_default,windup,False,windup_False,10984,-1,10985
32,32,DirectX11,default,DirectX11_default,windup,False,windup_False,8748,-1,8749
33,33,DirectX11,default,DirectX11_default,windup,False,windup_False,11316,-1,11317
34,34,DirectX11,default,DirectX11_default,windup,False,windup_False,9516,-1,9517
35,35,DirectX11,default,DirectX11_default,windup,False,windup_False,11216,-1,11217
36,36,DirectX11,default,DirectX11_default,windup,False,windup_False,10304,-1,10305
37,37,DirectX11,default,DirectX11_default,windup,False,windup_False,9744,-1,9745
38,38,DirectX11,default,DirectX11_default,windup,False,windup_False,11100,-1,11101
39,39,DirectX11,default,DirectX11_default,windup,False,windup_False,9744,-1,9745
40,40,DirectX11,default,DirectX11_default,windup,False,windup_False,9740,-1,9741
41,41,DirectX11,default,DirectX11_default,windup,False,windup_False,10088,-1,10089
42,42,DirectX11,default,DirectX11_default,windup,False,windup_False,10304,-1,10305
43,43,DirectX11,default,DirectX11_default,windup,False,windup_False,9968,-1,9969
44,44,DirectX11,default,DirectX11_default,windup,False,windup_False,9532,-1,9533
45,45,DirectX11,default,DirectX11_default,windup,False,windup_False,10860,-1,10861
46,46,DirectX11,default,DirectX11_default,windup,False,windup_False,10876,-1,10877
47,47,DirectX11,default,DirectX11_default,windup,False,windup_False,10080,-1,10081
48,48,DirectX11,default,DirectX11_default,windup,False,windup_False,9076,-1,9077
49,49,DirectX11,default,DirectX11_default,windup,False,windup_False,10196,-1,10197
50,50,DirectX11,default,DirectX11_default,windup,False,windup_False,9420,-1,9421
51,51,DirectX11,default,DirectX11_default,windup,False,windup_False,10304,-1,10305
52,52,DirectX11,default,DirectX11_default,windup,False,windup_False,11092,-1,11093
53,53,DirectX11,default,DirectX11_default,windup,False,windup_False,10080,-1,10081
54,54,DirectX11,default,DirectX11_default,windup,False,windup_False,8856,-1,8857
55,55,DirectX11,default,DirectX11_default,windup,False,windup_False,10192,-1,10193
56,56,DirectX11,default,DirectX11_default,windup,False,windup_False,10416,-1,10417
57,57,DirectX11,default,DirectX11_default,windup,False,windup_False,10872,-1,10873
58,58,DirectX11,default,DirectX11_default,windup,False,windup_False,10304,-1,10305
59,59,DirectX11,default,DirectX11_default,windup,False,windup_False,10748,-1,10749
60,60,DirectX11,default,DirectX11_default,windup,False,windup_False,10080,-1,10081
61,61,DirectX11,default,DirectX11_default,windup,False,windup_False,10648,-1,10649
62,62,DirectX11,default,DirectX11_default,windup,False,windup_False,9084,-1,9085
63,63,DirectX11,default,DirectX11_default,windup,False,windup_False,10864,-1,10865
64,64,DirectX11,default,DirectX11_default,windup,False,windup_False,11312,-1,11313
65,65,DirectX11,default,DirectX11_default,windup,False,windup_False,10764,-1,10765
66,66,DirectX11,default,DirectX11_default,windup,False,windup_False,10640,-1,10641
67,67,DirectX11,default,DirectX11_default,windup,False,windup_False,10420,-1,10421
68,68,DirectX11,default,DirectX11_default,windup,False,windup_False,8624,-1,8625
69,69,DirectX11,default,DirectX11_default,windup,False,windup_False,9636,-1,9637
70,70,DirectX11,default,DirectX11_default,windup,False,windup_False,9520,-1,9521
71,71,DirectX11,default,DirectX11_default,windup,False,windup_False,10096,-1,10097
72,72,DirectX11,default,DirectX11_default,windup,False,windup_False,10532,-1,10533
73,73,DirectX11,default,DirectX11_default,windup,False,windup_False,10876,-1,10877
74,74,DirectX11,default,DirectX11_default,windup,False,windup_False,9748,-1,9749
75,75,DirectX11,default,DirectX11_default,windup,False,windup_False,10864,-1,10865
76,76,DirectX11,default,DirectX11_default,windup,False,windup_False,9076,-1,9077
77,77,DirectX11,default,DirectX11_default,windup,False,windup_False,11088,-1,11089
78,78,DirectX11,default,DirectX11_default,windup,False,windup_False,10532,-1,10533
79,79,DirectX11,default,DirectX11_default,windup,False,windup_False,10976,-1,10977
80,80,DirectX11,default,DirectX11_default,windup,False,windup_False,9868,-1,9869
81,81,DirectX11,default,DirectX11_default,windup,False,windup_False,9860,-1,9861
82,82,DirectX11,default,DirectX11_default,windup,False,windup_False,9300,-1,9301
83,83,DirectX11,default,DirectX11_default,windup,False,windup_False,10188,-1,10189
84,84,DirectX11,default,DirectX11_default,windup,False,windup_False,9632,-1,9633
85,85,DirectX11,default,DirectX11_default,windup,False,windup_False,10420,-1,10421
86,86,DirectX11,default,DirectX11_default,windup,False,windup_False,9524,-1,9525
87,87,DirectX11,default,DirectX11_default,windup,False,windup_False,10540,-1,10541
88,88,DirectX11,default,DirectX11_default,windup,False,windup_False,11308,-1,11309
89,89,DirectX11,default,DirectX11_default,windup,False,windup_False,9964,-1,9965
90,90,DirectX11,default,DirectX11_default,windup,False,windup_False,9640,-1,9641
91,91,DirectX11,default,DirectX11_default,windup,False,windup_False,8860,-1,8861
92,92,DirectX11,default,DirectX11_default,windup,False,windup_False,9300,-1,9301
93,93,DirectX11,default,DirectX11_default,windup,False,windup_False,11096,-1,11097
94,94,DirectX11,default,DirectX11_default,windup,False,windup_False,9860,-1,9861
95,95,DirectX11,default,DirectX11_default,windup,False,windup_False,11204,-1,11205
96,96,DirectX11,default,DirectX11_default,windup,False,windup_False,9300,-1,9301
97,97,DirectX11,default,DirectX11_default,windup,False,windup_False,10304,-1,10305
98,98,DirectX11,default,DirectX11_default,windup,False,windup_False,11084,-1,11085
99,99,DirectX11,default,DirectX11_default,windup,False,windup_False,9076,-1,9077
